trial_name,agent_level,agent_id,full_sequence,to_fridge_sequence,return_sequence,chosen_plant_spot,audio_sequence,full_sequence_length,to_fridge_sequence_length,return_sequence_length
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (5, 11), (4, 11), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(9, 10)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",48,28,20
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (3, 9), (4, 9), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (3, 11), (3, 10), (3, 9), (4, 9), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(7, 9)","[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",50,26,24
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (6, 11), (6, 10), (5, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (2, 10), (3, 10), (4, 10), (5, 10), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (6, 11), (6, 10), (5, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(10, 10)","[24, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",50,24,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (7, 10), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (7, 12), (7, 13), (8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 11), (6, 10), (7, 10), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (7, 11), (7, 12), (7, 13), (8, 13)]","[(8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(8, 11)","[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 18]",44,26,18
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (7, 12), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (7, 12), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (7, 11), (7, 12), (6, 12), (6, 13), (5, 13), (5, 12), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(7, 10)","[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",50,26,24
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (3, 10), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (8, 12), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(10, 10)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",54,28,26
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 10), (6, 11), (7, 11), (7, 12), (6, 12), (5, 12), (5, 11), (5, 10), (4, 10), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (3, 10), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (8, 11), (8, 12), (7, 12), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 10), (6, 11), (7, 11), (7, 12), (6, 12), (5, 12), (5, 11), (5, 10), (4, 10), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(8, 10)","[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",50,22,28
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (3, 10), (3, 9), (2, 9), (2, 10), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (7, 13), (8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11), (5, 10), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (3, 10), (3, 9), (2, 9), (2, 10), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (7, 13), (8, 13)]","[(8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11), (5, 10), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(9, 9)","[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",46,22,24
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (2, 11), (3, 11), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(9, 9)","[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",52,26,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (7, 12), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (5, 10), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (7, 10), (6, 10), (5, 10), (4, 10), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (5, 13), (6, 13), (7, 13), (7, 12), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (11, 10), (11, 9), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (5, 10), (4, 10), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(10, 9)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 28]",56,28,28
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (7, 12), (7, 11), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (3, 10), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (5, 10), (4, 10), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (5, 12), (6, 12), (6, 13), (7, 13), (7, 12), (7, 11), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (7, 10), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (1, 11), (1, 10), (1, 9), (2, 9), (3, 9), (3, 10), (4, 10), (5, 10), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(8, 9)","[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",48,22,26
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (6, 10), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (6, 11), (6, 10), (7, 10), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (4, 10), (5, 10), (5, 11), (6, 11), (6, 10), (7, 10), (8, 10), (8, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (5, 11), (6, 11), (6, 10), (7, 10), (7, 11), (8, 11), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (3, 7), (3, 6)]","(9, 9)","[20, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 22]",42,20,22
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (3, 10), (3, 11), (4, 11), (4, 10), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (7, 12), (8, 12), (8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (6, 12), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (2, 10), (3, 10), (3, 11), (4, 11), (4, 10), (5, 10), (6, 10), (7, 10), (7, 11), (6, 11), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (6, 12), (6, 11), (7, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(9, 9)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 20]",48,28,20
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (4, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (8, 10), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (5, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (2, 10), (2, 11), (3, 11), (4, 11), (4, 10), (5, 10), (5, 11), (5, 12), (5, 13), (6, 13), (6, 12), (6, 11), (6, 10), (6, 9), (7, 9), (8, 9), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (7, 13), (7, 12), (7, 11), (7, 10), (8, 10), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (5, 10), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(9, 9)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 22]",50,28,22
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (2, 10), (3, 10), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (2, 10), (3, 10), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (8, 12), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (7, 11), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(8, 9)","[22, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",48,22,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9), (12, 10), (13, 10), (13, 11), (12, 11), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (8, 9), (9, 9), (10, 9), (11, 9), (12, 9), (12, 10), (13, 10), (13, 11), (12, 11), (11, 11), (11, 10), (10, 10), (9, 10), (8, 10), (7, 10), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (7, 12), (8, 12), (8, 11), (8, 10), (7, 10), (7, 9), (6, 9), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (3, 10), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(8, 10)","[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",52,26,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (7, 12), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13), (8, 12), (8, 11), (7, 11), (7, 10), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (4, 6), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (4, 10), (4, 11), (5, 11), (6, 11), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (7, 12), (6, 12), (5, 12), (5, 13), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (8, 11), (7, 11), (7, 10), (8, 10), (9, 10), (9, 9), (8, 9), (7, 9), (6, 9), (6, 10), (6, 11), (6, 12), (5, 12), (5, 11), (4, 11), (4, 10), (4, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(9, 9)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",52,28,24
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (2, 10), (3, 10), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (6, 9), (7, 9), (7, 10), (6, 10), (5, 10), (4, 10), (4, 9), (3, 9), (2, 9), (1, 9), (1, 10), (1, 11), (2, 11), (2, 10), (3, 10), (3, 11), (4, 11), (5, 11), (6, 11), (7, 11), (7, 12), (8, 12), (8, 13)]","[(8, 13), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (6, 11), (7, 11), (8, 11), (8, 10), (9, 10), (10, 10), (10, 9), (9, 9), (8, 9), (7, 9), (7, 10), (6, 10), (5, 10), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(8, 11)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",52,28,24
snack6,sophisticated,A,"[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (6, 11), (6, 12), (7, 12), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (5, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","[(3, 6), (3, 7), (4, 7), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (3, 11), (4, 11), (5, 11), (6, 11), (6, 12), (7, 12), (7, 11), (7, 10), (6, 10), (6, 9), (7, 9), (8, 9), (9, 9), (9, 10), (8, 10), (8, 11), (8, 12), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 13), (6, 13), (5, 13), (5, 12), (6, 12), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (3, 10), (4, 10), (5, 10), (6, 10), (6, 9), (5, 9), (5, 8), (5, 7), (4, 7), (4, 6), (3, 6)]","(7, 13)","[26, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 26]",52,26,26
snack6,sophisticated,A,"[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (2, 10), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 9), (8, 9), (8, 10), (8, 11), (7, 11), (7, 12), (6, 12), (6, 13), (7, 13), (8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","[(3, 6), (4, 6), (5, 6), (5, 7), (5, 8), (5, 9), (4, 9), (3, 9), (3, 10), (2, 10), (1, 10), (1, 11), (2, 11), (3, 11), (4, 11), (5, 11), (5, 10), (6, 10), (7, 10), (7, 9), (8, 9), (8, 10), (8, 11), (7, 11), (7, 12), (6, 12), (6, 13), (7, 13), (8, 13)]","[(8, 13), (8, 12), (7, 12), (7, 11), (8, 11), (8, 10), (8, 9), (7, 9), (7, 10), (6, 10), (6, 11), (5, 11), (4, 11), (3, 11), (2, 11), (2, 10), (2, 9), (3, 9), (4, 9), (5, 9), (5, 8), (5, 7), (5, 6), (4, 6), (3, 6)]","(7, 9)","[28, 'fridge_opened', 'snack_picked_up', 'fridge_closed', 24]",52,28,24
